"Name","Rank","Generic.Name","Authors..Pub..","Publication","Authors..Book.","Book","Volume","Fascicle","Page.number","Year","Parent.Taxon","Fossil.Status","ID","Authors..Name.","Journal","Annee.Jahrgang","Issue","Type","Вasionym.Generic.Name","Original.spelling","Вasionym.Infrageneric.Name","Edition","Replaced.Name","Designated.by","Non.fossil","Diagnosis"
"Acer Palaeorubra","Section","[Genus] Acer","von Schenk A. J. ","Palaeophytologie [1888/8]","von Zittel K. A. ","Handbuch der Palaeontologie","Abtheilung 2","6","558","1888","[Genus] Acer","leaves","0A9F1D6F-6B06-B0F9-95C3-55146E54697F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer Palaeospicata","Section","[Genus] Acer","von Schenk A. J. ","Palaeophytologie [1888/8]","von Zittel K. A. ","Handbuch der Palaeontologie","Abtheilung 2","6","559","1888","[Genus] Acer","leaves","3056C906-BFCD-070F-F303-CB89C3D889CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acicularia Briardina","Section","[Genus] Acicularia","von Pia J. ","Thallophyta [1927/11]","Hirmer M. ","Handbuch der Paläobotanik","1",NA,"85","1927","[Genus] Acicularia","thallus (calcareous)","8099520F-4499-BAF3-10E5-131A89DDF82C","Munier-Chalmas E. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aldrovanda Clavatae","Section","[Genus] Aldrovanda","Dorofeev P. I. ","Ob oligotsenovoj flore Zaural'ja [1968/7]",NA,NA,NA,NA,"115","1968","[Genus] Aldrovanda",NA,"4B6AF144-47EF-4747-9CF7-F91BE048D99A",NA,"Paleontologicheskii Zhurnal","1968","2","Aldrovanda clavata",NA,NA,NA,NA,NA,NA,NA,NA
"Aldrovanda Obliquae","Section","[Genus] Aldrovanda","Dorofeev P. I. ","Ob oligotsenovoj flore Zaural'ja [1968/7]",NA,NA,NA,NA,"115","1968","[Genus] Aldrovanda","sporae dispersae (megaspores)","1BA3CBF5-D523-438C-B6FC-37E1F4981D88",NA,"Paleontologicheskii Zhurnal","1968","2","Aldrovanda dokturovskyi",NA,NA,NA,NA,NA,NA,NA,NA
"Anomozamites Platypterygium","Subgenus","[Genus] Anomozamites","Schimper W. von Schenk A. J. ","Palaeophytologie [1880/12]","von Zittel K. A. ","Handbuch der Palaeontologie","Abtheilung 2","2","225","1880","[Genus] Anomozamites","foliage","02BF1502-9A79-97C0-3A72-CBCE47FF5BD9","Schimper W. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Araucaria Bunyalites","Subgenus","[Genus] Araucaria","McCoy F. ","Prodromus of the Palaeontology of Victoria [1874/5-12]","McCoy F. ","Prodromus of the Palaeontology of Victoria","Decade I",NA,"32","1874",NA,"foliage","4931706E-F318-8A75-26BB-B5552BF0696F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Araucaria Perpendicula","Section","[Genus] Araucaria","Pole M. S. ","Late Cretaceous macrofloras of Eastern Otago, New Zealand: Gymnosperms [1995/12]",NA,NA,"8",NA,"1074","1995",NA,"foliage","0D60C3B4-A9E9-C184-071E-1515C6393B8B",NA,"Australian Systematic Botany",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Araucaria Yezonia","Section","[Genus] Araucaria","Ohsawa T. Nishida H. Nishida M. ","Yezonia, a new section of Araucaria (Araucariaceae) based on permineralized vegetative and reproductive organs of A. vulgaris comb. nov. from the Upper Cretaceous of Hokkaido, Japan [1995/3]",NA,NA,"108",NA,"26","1995",NA,NA,"024B1EAA-AD13-19B9-FC3B-E80AEF812523",NA,"Journal of Plant Research",NA,"1089",NA,"[Genus] Yezonia",NA,NA,NA,NA,NA,NA,NA
"Azolla Filifera","Section","[Genus] Azolla","Hall J. W. ","A new genus of Salviniaceae and a new species of Azolla from the Late Cretaceous [1968/6]",NA,NA,"58",NA,"79","1968","[Genus] Azolla","sporae dispersae (megaspores)","E432D6FB-F98D-4900-AAC1-049FD3F76184",NA,"American Fern journal",NA,"2","Azolla circinata",NA,NA,NA,NA,NA,NA,NA,NA
"Azolla Florschuetzia","Subgenus","[Genus] Azolla","Kempf E. K. ","Wasserfarne im rheinischen Braunkohlentertiär und ihr stratigraphischer Wert (Kurzfassung eines Vortrags) [1968/5]",NA,NA,"118",NA,"161","1968","[Genus] Azolla","macrosporangia (with massulae)","46736043-08C4-45B0-BD8E-9F311B5C5D4F",NA,"Zeitschrift der Deutschen Geologischen Gesellschaft",NA,"1","Azolla teschiana",NA,NA,NA,NA,NA,NA,NA,NA
"Azolla Kremastospora","Section","[Genus] Azolla","Jain R. K. Hall J. W. ","A contribution to the Early Tertiary fossil record of the Salviniaceae [1969/5]",NA,NA,"56",NA,"538","1969","[Genus] Azolla","sporae dispersae (megaspores)","99EBC916-8186-4AA2-9AFE-98035245C046",NA,"American Journal of Botany",NA,"5","Azolla teschiana",NA,NA,NA,NA,NA,NA,NA,NA
"Azolla Simplicispora","Section","[Genus] Azolla","Hall J. W. ","A new section of Azolla [1970/4]",NA,NA,"19",NA,"303","1970","[Genus] Azolla","sporae dispersae (megaspores)","50B5B4BF-A465-4029-954E-0661AC457B2C",NA,"Taxon",NA,"2","Azolla primaeva",NA,NA,NA,NA,NA,NA,NA,NA
"Azollopsis Spiralopsis","Subgenus","[Genus] Azollopsis","Sweet A. R. Hills L. V. ","A detailed study of the genus Azollopsis [1974/7]",NA,NA,"52",NA,"1634","1974","[Genus] Azollopsis","sporae dispersae (megaspores)","0B6BBB76-AA82-45C4-893F-4E4B790E9AEE",NA,"Canadian Journal of Botany",NA,"7","Azollopsis intermedia",NA,NA,NA,NA,NA,NA,NA,NA
"Beresella Trinodella","Subgenus","[Genus] Beresella","Maslov V. P. Kulik Е. L. ","Novaja triba vodoroslej (Bereselleae) iz karbona SSSR [New tribe of algae (Bereselleae) from the Carboniferous of the USSR] [1956/1]",NA,NA,"106",NA,"128","1956","[Genus] Beresella","thallus","A5396DE5-F89B-4245-859D-E53171A7D29A",NA,"Doklady Akademii Nauk SSSR",NA,"1","Beresella bifurcata",NA,NA,NA,NA,NA,NA,NA,NA
"Berriochloa Stipidium","Section","[Genus] Berriochloa","Thomasson J. R. ","Late Cenozoic grasses and other angiosperms from Kansas, Nebraska, and Colorado: biostratigraphy and relationships to living taxa [1979/9]",NA,NA,NA,NA,"23, 51","1979",NA,NA,"3D0F0684-E229-76E4-FF5F-579CDD42D508",NA,"Kansas Geological Survey Bulletin",NA,"218",NA,"[Genus] Stipidium",NA,NA,NA,NA,NA,NA,NA
"Betula Palaeocostata","Section","[Genus] Betula","Dorofeev P. I. ","Tretichnye flory Zapadnoj Sibiri [1963/6]","Dorofeev P. I. ","Tretichnye flory Zapadnoj Sibiri",NA,NA,"145","1963","[Genus] Betula","fruits","3B353AF9-5F06-4488-92E8-95AA8E13B94D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bothrodendron Cyclostigma","Subgenus","[Genus] Bothrodendron","Nathorst A. G. ","Zur paläozoischen Flora der arktischen Zone (Vorläufige Mittheilung) [1894/5]",NA,NA,"44",NA,"96","1894",NA,NA,"4D515447-AF33-4496-A93C-3CDA41D2A0CB",NA,"Jahrbuch der Kaiserlich-Königlichen Geologischen Reichsanstalt",NA,"1",NA,"[Genus] Cyclostigma",NA,NA,NA,NA,NA,NA,NA
