"Name","Rank","Authors..Pub..","Publication","Journal","Issue","Page.number","Year","Parent.Taxon","Type","ID","Non.fossil","Original.spelling","Authors..Book.","Book","Volume","Authors..Name.","Fascicle","Annee.Jahrgang","Edition","Diagnosis"
"Abacelleae","Tribe","Shuysky V. P. ","Zelyonye vodorosli (Chlorophyta) [1987/10]","Trudy Instituta geologii i geofiziki Sibirskogo otdeleniya Akademii Nauk SSSR","674","56","1987","[Family] Litanaiaceae","[Genus] Abacella","DC16CEF7-620F-4012-8F6D-847971517BA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abietaceae","Family","Gray S. F. ","A natural arrangement of British plants [1822/1]",NA,NA,"222, 223","1822","[Order] Pinales","[Genus] Abies","4B8A3144-A494-4714-B615-F6D7DC74D551","Yes","Abietideae","Gray S. F. ","A natural arrangement of British plants, according to their relations to each other, as pointed out by Jussieu, De Candolle, Brown, & c. including those cultivated for use; with an introduction to botany, in which the terms newly introduced are explained; illustrated by figures.","2",NA,NA,NA,NA,NA
"Abietopityaceae","Family","Lepechina V. G. Olejnikov A. N. ","O klassifikatsii paleozojskikh drevesin golosemennykh [1978/12]","Trudy Vsesoyuznogo Nauchno-Issledovatel'skogo Geologicheskogo Instituta",NA,"116","1978",NA,"[Genus] Abietopitys","8FD76D0A-C438-3FF4-8A9C-D727D56EFFE0",NA,NA,NA,NA,"289",NA,NA,NA,NA,NA
"Acanthaceae","Family","de Jussieu A. L. ","Genera Plantarum [1789/8]",NA,NA,"102","1789","[Order] Acanthales","[Genus] Acanthus","17F6C46C-8926-414B-8DD0-E2128F429342","Yes","Acanthi","de Jussieu A. L. ","Genera Plantarum",NA,NA,NA,NA,NA,NA
"Acanthales","Order","von Berchtold F. Presl J. S. ","O Přirozenosti rostlin aneb Rostlinář [1819/10]",NA,NA,"246","1819","[Class] Magnoliopsida","[Genus] Acanthus","960E1F22-7FC8-1511-D4B7-30350AC9EAF7","Yes","Acanthaceae","von Berchtold F. Presl J. S. ","O Přirozenosti rostlin, aneb Rostlinář","Oddělení 1",NA,NA,NA,NA,NA
"Acanthinaceae","Family","Korde K. B. ","Vodorosli kembrija [1973/11]","Trudy Paleontologicheskogo Instituta Akademii Nauk SSSR",NA,"116","1973",NA,"[Genus] Acanthina","AADEA181-C299-466D-88D6-4463C88D3064",NA,NA,NA,NA,"139",NA,NA,NA,NA,NA
"Acetabulariaceae","Family",NA,"Not defined (in editing)",NA,NA,"in Encycl. Méth. Hist. Nat. Zooph.: 7. 1824",NA,"[Order] Dasycladales",NA,"C1048266-9C02-4C84-BF95-F333E32A852E","Yes","Acetabularieae",NA,NA,NA,"Lamouroux J. V. F. ",NA,NA,NA,NA
"Aciculelleae","Tribe","Bassoullet J.-P. Bernier P. Deloffre R. Génot P. Jaffrezo M. Vachard D. ","Essai de classification des Dasycladales en tribus [1979/12]","Bulletin des Centres de Recherches Exploration-Production Elf-Aquitaine","2","433","1979","[Family] Diploporaceae","[Genus] Aciculella","9A1DC149-A269-6B03-EF27-9CD54DFBB20B",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA
"Aclistocharaceae","Family","Hao Y.-C. Xu N. Zhou X.-G. Song Q.-S. Yang G.-D. Cheng S.-W. Wei Z.-X. ","Xining he Minhe Pendi Zhongzhulutong-Disanxi Chenji he Jiexingchong-Lunzao Huashi Zuhe [1983/12]","Diqiu kexue : Wuhan dizhi xueyuan xuebao","Supplement 1","182","1983","[Family] Characeae","[Genus] Aclistochara","F6547B69-CDD5-4076-AB5A-C4D48F13D88B",NA,NA,NA,NA,"23","Zhou X.-G. ",NA,NA,NA,NA
"Aclistocharoideae","Subfamily","Mädler K. ","Charophyten aus dem Nordwestdeutchen Kimmeridge [1952/8]","Geologisches Jahrbuch",NA,"4","1952","[Family] Characeae","[Genus] Aclistochara","035C2CE6-1F6D-48DE-91E1-F97A396A7F5A",NA,"Aclistochareae",NA,NA,"67",NA,NA,NA,NA,NA
"Acmopylaceae","Family",NA,"Not defined (in editing)",NA,NA,"Melikjan &A.V.Bobrov Proc.Int.Conf.Pl.Anat.93.1997",NA,"[Order] Podocarpales","[Genus] Acmopyle","45148975-722C-747D-2218-868028FC2531","Yes","Acmopyleaceae",NA,NA,NA,NA,NA,NA,NA,NA
"Acoraceae","Family","Martynov I. I. ","Tekhno-Botanicheskij Slovar' [1820/7]",NA,NA,"6","1820",NA,"[Genus] Acorus","5F03D7B5-2175-4DCE-A904-A8C3C1E00E88","Yes",NA,"Martynov I. I. ","Tekhno-Botanicheskij Slovar' [Techno-Botanical Dictionary]",NA,NA,NA,NA,NA,NA
"Acritarcha","Unranked",NA,"Not defined (in editing)",NA,NA,NA,NA,NA,NA,"CFD10772-CB06-4117-AF45-2F93D60FF70F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acrostichaceites","Tribe","Sternberg K. M. ","Versuch einer geognostisch-botanischen Darstellung der Flora der Vorwelt [1838/9]",NA,NA,"125","1838","[Phylum] Pteridophyta",NA,"04C1F938-ADD5-9756-4F0D-D6DAB9E938A8",NA,NA,"Sternberg K. M. ","Versuch einer geognostisch-botanischen Darstellung der Flora der Vorwelt","[2]","Presl K. ","7-8",NA,NA,NA
"Acrostichitaceae","Family","Braun C. F. W. ","Verzeichniss der in der Kreis-Naturalien-Sammlung zu Bayreuth befindlichen Petrefacten [1840/11]",NA,NA,"97","1840","[Phylum] Pteridophyta","[Genus] Acrostichites","A61E657E-C2F3-E7F5-C0EA-566A03C36CE2",NA,"Acrostichaceites","Braun C. F. W. ","Verzeichniss der in der Kreis-Naturalien-Sammlung zu Bayreuth befindlichen Petrefacten",NA,NA,NA,NA,NA,NA
"Acrostichopteridaceae","Family","Reed C. F. ","The phylogeny and ontogeny of the Pteropsida. I. Schizaeales [1948/5]","Boletim da Sociedade Broteriana",NA,"109","1948","[Class] Pteridopsida","[Genus] Acrostichopteris","954A697A-92A7-DEB3-6DE3-391AB00B5588",NA,NA,NA,NA,"21",NA,NA,"Ser. 2",NA,NA
"Actinidiaceae","Family","Engler A. ","Syllabus der Pflanzenfamilien [1924/11]",NA,NA,"279","1924","[Order] Actinidiales","[Genus] Actinidia","E7B91E6D-C625-455A-A503-E67821B62097","Yes",NA,"Engler A. ","Syllabus der Pflanzenfamilien",NA,"Engler A. Gilg E. F. ",NA,NA,"9-10",NA
"Actinidiales","Order",NA,"Not defined (in editing)",NA,NA,"Phytologia 74: 174. 1993",NA,"[Class] Magnoliopsida","[Genus] Actinidia","6B48A986-C478-A24D-3DC5-4A38B4149251","Yes",NA,NA,NA,NA,"Reveal J. L. ",NA,NA,NA,NA
"Actiniopteridaceae","Family",NA,"Not defined (in editing)",NA,NA,"Webbia 17: 5. 1962",NA,"[Order] Pteridales",NA,"8016A511-73E4-AA56-BE15-AB0554D7B855","Yes",NA,NA,NA,NA,"Pichi-Sermolli R. E. G. ",NA,NA,NA,NA
"Actiniscaceae","Family",NA,"Not defined (in editing)",NA,NA,"Kieselschal. Bacill.: 130. 1844",NA,"[Order] Actiniscales","[Genus] Actiniscus","FD27EB86-4610-D1DB-6CAC-664AAE844B29",NA,"Actinisceae",NA,NA,NA,"Kützing F. T. ",NA,NA,NA,NA
"Actiniscales","Order",NA,"Not defined (in editing)",NA,NA,"Sournia, Phycologia 23: 346. 1984",NA,"[Phylum] Peridiniophyta","[Genus] Actiniscus","14357F5E-0DB4-6660-9B7C-3AE65A56AAB8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actinophycaceae","Family","Vologdin A. G. ","Drevnejshie vodorosli SSSR [Ancient Algae of the USSR] [1962/11]",NA,NA,"533","1962","[Regnum] Prokaryota","[Genus] Actinophycus","BA737F87-F499-95F9-7C0B-EE50761A0981",NA,"Actinophyceae","Vologdin A. G. ","Drevnejshie vodorosli SSSR [Ancient Algae of the USSR]",NA,NA,NA,NA,NA,NA
"Actinostrobaceae","Family",NA,"Not defined (in editing)",NA,NA,"Jahresh.Ver.Vaterl.Naturk.Würrtemb. 53: 163. 1897",NA,"[Order] Actinostrobales","[Genus] Actinostrobus","9E8A3401-B088-6AFC-2E24-5E43D1343EE8","Yes","Actinostrobeae",NA,NA,NA,"von Graner F. ",NA,NA,NA,NA
"Actinostrobales","Order","Doweld A. B. ","Prosyllabus Tracheophytorum [2001/12]",NA,NA,"xx","2001","[Subclass] Cupressidae",NA,"9D02ADEB-B1F0-46D3-9045-04484788D302","Yes",NA,"Doweld A. B. ","Prosyllabus Tracheophytorum",NA,NA,NA,NA,NA,NA
"Adiantaceae","Family",NA,"Not defined (in editing)",NA,NA,NA,NA,"[Class] Pteridopsida","[Genus] Adiantum","42728DA5-2AB3-447E-A015-38DAE6C92DF7","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
