"Name","URL"
"Aachenia","http://ifpni.org/genus.htm?id=F054A208-6853-4A12-8D55-1C349685D2BC"
"Aachenipollis","http://ifpni.org/genus.htm?id=640EC3A8-970D-485F-A6ED-5FCB4108BAB9"
"Aachenosaurus","http://ifpni.org/genus.htm?id=3A78A258-E120-4F62-8BE0-9BE3C453F087"
"Aachenoxylon","http://ifpni.org/genus.htm?id=58B3744D-410A-4D20-BBB8-CD0B568E3440"
"Aarabia","http://ifpni.org/genus.htm?id=4E4C27B0-5AC4-4E7B-9D22-3036A6D344DC"
"Aataenia","http://ifpni.org/genus.htm?id=03B5EAC0-080C-40BB-91D3-1699300494C0"
"Abacanidium","http://ifpni.org/genus.htm?id=FB1992B7-B2B8-4E0D-9A26-0D23777F7F98"
"Abacella","http://ifpni.org/genus.htm?id=6F3E09F1-F01D-4AF7-A9B1-BF7CC59553C6"
"Abacodendron","http://ifpni.org/genus.htm?id=1C00987A-6562-4226-90C3-970CA7541988"
"Abacodendron","http://ifpni.org/genus.htm?id=270EBE51-7FA1-4A46-A8DB-26DCF0A0FD44"
"Abacopteris","http://ifpni.org/genus.htm?id=7A24F2F7-3663-4EF2-B220-FCBF61916913"
"Abacum","http://ifpni.org/genus.htm?id=40F6EC2A-8580-4327-B039-39CC7C034B57"
"Abakaniella","http://ifpni.org/genus.htm?id=DABA5FC1-35A8-459B-AE1B-7E79F7E18140"
"Abas","http://ifpni.org/genus.htm?id=10B1F304-081A-4410-802E-F912FE7AA1A5"
"Abatea","http://ifpni.org/genus.htm?id=7253C923-9074-4527-A9C7-36B0C94BA320"
"Abdititriletes","http://ifpni.org/genus.htm?id=21547C1E-11BA-488F-A389-AD14EAF3EACC"
"Abelia","http://ifpni.org/genus.htm?id=6E3FE3D7-7BE6-4BA8-B8A9-4238B3A5A94B"
"Abelicea","http://ifpni.org/genus.htm?id=D22CDE0E-778D-F9A4-B015-19CE6EA1E690"
"Abeliella","http://ifpni.org/genus.htm?id=73EFB86B-1779-4E41-8407-1115B9ECF209"
"Aberlemnia","http://ifpni.org/genus.htm?id=0543D8AA-90FC-45D7-AAFF-EBFD3B7CA87B"
"Abies","http://ifpni.org/genus.htm?id=53F9581C-E7B1-4349-A77C-085B86D6C711"
"Abiespollenites","http://ifpni.org/genus.htm?id=A037642B-B31B-49BC-BF5B-4382AF5DCDD3"
"Abieticedripites","http://ifpni.org/genus.htm?id=A21C93C0-4DCE-47C6-BFC7-5CDE58988A88"
"Abietineae-pollenites","http://ifpni.org/genus.htm?id=3BCB1448-2A6D-433D-A917-3CA065D00547"
"Abietineaepollenites","http://ifpni.org/genus.htm?id=BFA58292-0A40-4170-BCCF-ADC5F1B415C4"
"Abietipites","http://ifpni.org/genus.htm?id=FDC5F87A-813E-454F-A018-7591C3050809"
"Abietites","http://ifpni.org/genus.htm?id=7AA39E67-5B81-4BA4-BFB6-86E9836127E1"
"Abietites","http://ifpni.org/genus.htm?id=BEC2EEAC-1BFC-4A7B-B19F-1C7D567636DE"
"Abietopitys","http://ifpni.org/genus.htm?id=91B5DD90-582B-489C-8B14-D31B61C2D3B4"
"Abietosaccites","http://ifpni.org/genus.htm?id=C4475B49-22F0-4C79-AD2F-DB3EB57EC239"
"Abietoxylon","http://ifpni.org/genus.htm?id=DF17749E-E2C2-4EE7-BACF-D22EC8EB0C54"
"Abiocaulis","http://ifpni.org/genus.htm?id=FEE4C913-C75C-4FD9-82B7-18D88D1E056E"
"Abratopdinium","http://ifpni.org/genus.htm?id=6AD15EC1-7DE3-45C5-A947-D10C5698134A"
"Abronia","http://ifpni.org/genus.htm?id=2B779BF0-D5F9-083F-D8D3-BE875A90C73C"
"Abropteris","http://ifpni.org/genus.htm?id=F6B31A2F-BCB9-435A-B11D-A94C8BAD8D8C"
"Abrotopteris","http://ifpni.org/genus.htm?id=0A1E5589-244A-4B93-AE35-6D5F667AAE40"
"Abruptophycus","http://ifpni.org/genus.htm?id=FEE4D224-C004-4337-8DC7-E1E2E810FEBD"
"Abundacapsa","http://ifpni.org/genus.htm?id=B331E1C6-B53C-4855-B90B-218A96947977"
"Abuta","http://ifpni.org/genus.htm?id=458F2BAB-D57D-4F7A-B669-33DC6AB21DF9"
"Abutilon","http://ifpni.org/genus.htm?id=871489E0-CEAF-F941-B6B4-138125364526"
