"","Name","URL"
"1","Section Palaeorubra","http://ifpni.org/infragenus.htm?id=0A9F1D6F-6B06-B0F9-95C3-55146E54697F"
"2","Section Palaeospicata","http://ifpni.org/infragenus.htm?id=3056C906-BFCD-070F-F303-CB89C3D889CC"
"3","Section Briardina","http://ifpni.org/infragenus.htm?id=8099520F-4499-BAF3-10E5-131A89DDF82C"
"4","Section Clavatae","http://ifpni.org/infragenus.htm?id=4B6AF144-47EF-4747-9CF7-F91BE048D99A"
"5","Section Obliquae","http://ifpni.org/infragenus.htm?id=1BA3CBF5-D523-438C-B6FC-37E1F4981D88"
"6","Subgenus Platypterygium","http://ifpni.org/infragenus.htm?id=02BF1502-9A79-97C0-3A72-CBCE47FF5BD9"
"7","Subgenus Bunyalites","http://ifpni.org/infragenus.htm?id=4931706E-F318-8A75-26BB-B5552BF0696F"
"8","Section Perpendicula","http://ifpni.org/infragenus.htm?id=0D60C3B4-A9E9-C184-071E-1515C6393B8B"
"9","Section Yezonia","http://ifpni.org/infragenus.htm?id=024B1EAA-AD13-19B9-FC3B-E80AEF812523"
"10","Section Filifera","http://ifpni.org/infragenus.htm?id=E432D6FB-F98D-4900-AAC1-049FD3F76184"
"11","Subgenus Florschuetzia","http://ifpni.org/infragenus.htm?id=46736043-08C4-45B0-BD8E-9F311B5C5D4F"
"12","Section Kremastospora","http://ifpni.org/infragenus.htm?id=99EBC916-8186-4AA2-9AFE-98035245C046"
"13","Section Simplicispora","http://ifpni.org/infragenus.htm?id=50B5B4BF-A465-4029-954E-0661AC457B2C"
"14","Subgenus Spiralopsis","http://ifpni.org/infragenus.htm?id=0B6BBB76-AA82-45C4-893F-4E4B790E9AEE"
"15","Subgenus Trinodella","http://ifpni.org/infragenus.htm?id=A5396DE5-F89B-4245-859D-E53171A7D29A"
"16","Section Stipidium","http://ifpni.org/infragenus.htm?id=3D0F0684-E229-76E4-FF5F-579CDD42D508"
"17","Section Palaeocostata","http://ifpni.org/infragenus.htm?id=3B353AF9-5F06-4488-92E8-95AA8E13B94D"
"18","Subgenus Cyclostigma","http://ifpni.org/infragenus.htm?id=4D515447-AF33-4496-A93C-3CDA41D2A0CB"
"19","Subgenus Porodendron","http://ifpni.org/infragenus.htm?id=FE8B6D94-690B-419F-B1FA-8FC93B25A4D4"
"20","Subgenus Rhytidodendron","http://ifpni.org/infragenus.htm?id=FACCF967-E34B-435F-8F58-FFC14E2AC061"
"21","Section Tridentata","http://ifpni.org/infragenus.htm?id=222C59C5-2078-4001-816F-1FEE52B4C7E4"
"22","Section Crassa","http://ifpni.org/infragenus.htm?id=0B5AB5A0-3D17-4071-BD67-7367EBFCB998"
"23","Section Ovula","http://ifpni.org/infragenus.htm?id=C7BB90AC-C0DF-44C1-8E6B-01E9834C3154"
"24","Section Tenuicostata","http://ifpni.org/infragenus.htm?id=3E308DFD-4C32-4962-8192-EAAC635D64BE"
"25","Subgenus Archaeocalamites","http://ifpni.org/infragenus.htm?id=EACBC649-1C07-46CD-AF7F-E8E9754ACA40"
"26","Section Arthrodendron","http://ifpni.org/infragenus.htm?id=0D927EF2-8CE8-4088-9695-FA245FE0AB75"
"27","Subgenus Arthrodendron","http://ifpni.org/infragenus.htm?id=F6DFDD54-EDFB-850E-8530-98412AAEB43C"
"28","Section Arthropitys","http://ifpni.org/infragenus.htm?id=29D079F2-83FF-45E4-A1B2-B8B3DCF06747"
"29","Subgenus Arthropitys","http://ifpni.org/infragenus.htm?id=A8C61809-52A8-5107-A295-E0CD0C0BAAF5"
"30","Subgenus Asterocalamites","http://ifpni.org/infragenus.htm?id=FCA6372B-07CD-4BE8-ACDB-44BD7CEDBCA1"
"31","Subgenus Calamitina","http://ifpni.org/infragenus.htm?id=9D2AF44C-C851-4A0F-8B07-4B191795EDC5"
"32","Subgenus Calamodendron","http://ifpni.org/infragenus.htm?id=5D43DA73-E7CC-2DB5-4B24-9561468F84B5"
"33","Section Calamodendron","http://ifpni.org/infragenus.htm?id=EE941040-7DE0-462D-BE2C-22C1EF02FFD0"
"34","Section Cyclocladia","http://ifpni.org/infragenus.htm?id=CB0D5405-93F6-451A-8C54-04DD71F5C26E"
