"Name","URL"
"Aachenia debeyi","http://ifpni.org/species.htm?id=3931C44F-598F-49F1-9E1A-4A3A4388545B"
"Aachenia knoblochii","http://ifpni.org/species.htm?id=13DAF780-ECD1-4414-9ABA-F6AAF7A39B94"
"Aachenipollis aachenensis","http://ifpni.org/species.htm?id=35136CB2-C166-6ED6-421E-ABBE9BEEED3F"
"Aachenosaurus multidens","http://ifpni.org/species.htm?id=C4702955-8321-8C75-DAF2-4EDC237D2993"
"Aarabia brevicaulis","http://ifpni.org/species.htm?id=5D4441E1-59F6-4A41-86E7-3FFC73B4CFCD"
"Aataenia reticularis","http://ifpni.org/species.htm?id=1A232AA2-DC73-B3A3-B20F-5A0C58C895B6"
"Abacanidium ekibastuzicum","http://ifpni.org/species.htm?id=4425D7DA-5475-40D7-802F-07C1FFD067D3"
"Abacella delicatula","http://ifpni.org/species.htm?id=C1E32719-B389-A0E8-8230-ED49D9DC532C"
"Abacella pertusa","http://ifpni.org/species.htm?id=0E6EB869-CCC5-4D05-A7B5-1F4E09DF46E3"
"Abacodendron anomalum","http://ifpni.org/species.htm?id=20AC9C51-002E-42C5-BBDF-25A4FF0AB1A8"
"Abacodendron anomalum","http://ifpni.org/species.htm?id=C4AE43B3-463B-41EC-B12C-0EB9A96C49A0"
"Abacodendron lutuginii","http://ifpni.org/species.htm?id=4E5D9484-C032-47A2-BA01-24BAC609DF5E"
"Abacodendron lutuginii","http://ifpni.org/species.htm?id=584948F7-DC80-4424-90E2-F14B8D0F6091"
"Abacodendron nathorstii","http://ifpni.org/species.htm?id=EAD96860-D0BE-4172-8951-95AA48667037"
"Abacopteris stiriaca","http://ifpni.org/species.htm?id=56428200-4B63-476A-87E5-79CCA27780AF"
"Abakaniella devonica","http://ifpni.org/species.htm?id=4D87A5B6-07A5-65B1-262D-36B556BC2994"
"Abelia palaeocenica","http://ifpni.org/species.htm?id=2D6FD1F0-1841-4EF4-8791-601AAA86EE88"
"Abelia quadrialata","http://ifpni.org/species.htm?id=A54757BD-110E-48F1-830A-F9255E0A0F12"
"Abelia quinquealata","http://ifpni.org/species.htm?id=2D79E81A-6955-4D92-88A0-69D078169D5B"
"Abelia trialata","http://ifpni.org/species.htm?id=CA6074DB-431E-4FEE-919E-CCBEC6CC634C"
"Abelicea ungeri","http://ifpni.org/species.htm?id=4619C152-CBC0-0D55-3927-59B6C4E6B2BD"
"Aberlemnia caledonica","http://ifpni.org/species.htm?id=06E0B711-D7A1-4326-AACA-8B3B61FBA5CB"
"Abies abscondita","http://ifpni.org/species.htm?id=ADA9F4C6-23C2-3CBC-B22A-2619E8A0F38A"
"Abies aburaensis","http://ifpni.org/species.htm?id=F1413DB4-B252-4C8E-BA06-5142519D0340"
"Abies aemula","http://ifpni.org/species.htm?id=D72AEDB2-77C4-327A-1972-C5976D138CDC"
"Abies albula","http://ifpni.org/species.htm?id=1FE5267C-BAC5-CC92-A104-ACFD009C5BE6"
"Abies albula","http://ifpni.org/species.htm?id=775AC15C-D009-C470-DA2D-2346865E46EA"
"Abies amguensis","http://ifpni.org/species.htm?id=702B5C1B-184D-C9F6-7B28-59AE0A65FEF5"
"Abies armstrongii","http://ifpni.org/species.htm?id=617588AD-EDBD-A817-D5FA-0299B9A5D587"
"Abies balsamoides","http://ifpni.org/species.htm?id=609316A5-C8A0-685E-CBCD-AEA6AB14EF73"
"Abies benstedii","http://ifpni.org/species.htm?id=61A8CAFF-4069-8FCF-0AF9-69825994A661"
"Abies brachyptera","http://ifpni.org/species.htm?id=2B87CEBF-5A1D-C7C7-776B-CF4F0B4F714E"
"Abies braunii","http://ifpni.org/species.htm?id=A7255601-55AD-BCDF-D235-33F644001272"
"Abies briartii","http://ifpni.org/species.htm?id=93449DBE-777B-39B6-191A-A6D76E48735C"
"Abies calcaria","http://ifpni.org/species.htm?id=A433DB91-4519-41E1-8342-27262D018495"
"Abies carbonaria","http://ifpni.org/species.htm?id=5999B444-5224-4A82-BE86-8286FD2F5ACA"
"Abies chuchlensis","http://ifpni.org/species.htm?id=E1B255DD-1742-4E78-AD09-331FE835CA71"
"Abies ciliticiformis","http://ifpni.org/species.htm?id=6D000E1A-AF90-406B-9E27-6C9E60E6DC15"
"Abies concolipites","http://ifpni.org/species.htm?id=84A82A45-E81F-4566-911B-71DD097C3876"
"Abies concoloroides","http://ifpni.org/species.htm?id=16945F5D-53A8-4445-9477-F68B35D73287"
"Abies cretacea","http://ifpni.org/species.htm?id=E20C1055-A1A3-4988-8B71-A2B462E1D438"
"Abies cristata","http://ifpni.org/species.htm?id=946C6D19-931D-4F08-AE25-6EF00B766B73"
"Abies deweyensis","http://ifpni.org/species.htm?id=D3450083-E515-4688-B495-69282F15C974"
"Abies diversa","http://ifpni.org/species.htm?id=9FB9F547-53F4-4902-891F-37EB796FF554"
"Abies edita","http://ifpni.org/species.htm?id=DAC6B4F6-86C0-4837-9792-E666CF400501"
"Abies elongata","http://ifpni.org/species.htm?id=34234A78-28BA-0BE1-3711-E436E270718F"
"Abies elongata","http://ifpni.org/species.htm?id=97CAED93-3F61-190A-4E3C-913C8052EB5F"
"Abies firmoides","http://ifpni.org/species.htm?id=5B66570F-EEF8-4680-99B2-0C3367AEDDFB"
"Abies garmensis","http://ifpni.org/species.htm?id=611AFDB9-1A6C-C861-6F47-48BBCCE001FD"
"Abies geanthracis","http://ifpni.org/species.htm?id=28DC9A26-B477-4891-8385-A1A431335DAF"
"Abies grandis","http://ifpni.org/species.htm?id=95BD3FE6-FB0D-06E8-02BC-3E65911B3D88"
"Abies hokiensis","http://ifpni.org/species.htm?id=E45E7A83-1700-46EE-876E-36FF76C6BA85"
"Abies honshuensis","http://ifpni.org/species.htm?id=1D7F1B67-77E6-4545-869F-073049F0B2D8"
"Abies hordeacea","http://ifpni.org/species.htm?id=825D0B2A-DC82-CA10-3E42-EDA5166FB403"
"Abies hyperborea","http://ifpni.org/species.htm?id=26F38610-A327-5E1C-2438-5376982E6DC8"
"Abies immanis","http://ifpni.org/species.htm?id=FEEED89D-6BE1-4AA0-B922-B19F5EA6C78C"
"Abies ingolfiana","http://ifpni.org/species.htm?id=3BAE30D8-583C-2D80-4C2D-D98E9566E015"
"Abies ingolfiana","http://ifpni.org/species.htm?id=5EA3B47E-9240-B004-CE46-B680B4FB8ED2"
"Abies intermedia","http://ifpni.org/species.htm?id=00DB2FE8-9A9F-3787-5B7B-66A93C7BA6F7"
"Abies lanceolata","http://ifpni.org/species.htm?id=ED0D2349-C57C-4CEA-1A3A-551DF168A52C"
"Abies lapidea","http://ifpni.org/species.htm?id=12F6F4FF-148A-1583-CEAA-EBDA8F72A726"
"Abies laricioides","http://ifpni.org/species.htm?id=8004726A-7C5C-ECFF-6F53-92FC3C4171D2"
"Abies laticarpus","http://ifpni.org/species.htm?id=92817F0E-F685-0F1C-AA83-25B4B49330E0"
"Abies latisquamosa","http://ifpni.org/species.htm?id=350B2649-1DD8-EA0B-1C06-2BC875089EC0"
"Abies leuce","http://ifpni.org/species.htm?id=7C227BD2-898E-4063-B9A6-D85CB6142273"
"Abies linearis","http://ifpni.org/species.htm?id=2BDFC008-3B31-6657-ACB4-0AB4C063192D"
"Abies linkii","http://ifpni.org/species.htm?id=D140DE53-1335-426D-A8C4-C42AF3F9D910"
"Abies loehri","http://ifpni.org/species.htm?id=BEE53F3B-F7D2-4B11-BB2B-EC01CF5C2FA5"
"Abies longirostris","http://ifpni.org/species.htm?id=401B5B15-0073-3776-A607-E06F8420DA92"
"Abies macclurei","http://ifpni.org/species.htm?id=F38C4887-BBD7-A1BB-7463-E06EB2C7D664"
"Abies major","http://ifpni.org/species.htm?id=5F121D39-0479-4629-9563-8C8C9CF1F3C8"
"Abies mariesiformis","http://ifpni.org/species.htm?id=5BD63B67-52A9-4CAD-A74E-350D24513C10"
"Abies medullosa","http://ifpni.org/species.htm?id=15038C9E-7BD5-CDC0-719F-311070851DF2"
"Abies microsperma","http://ifpni.org/species.htm?id=975D7206-90F3-9BB1-962B-5F9CE11EEA3E"
"Abies milleri","http://ifpni.org/species.htm?id=B3742C5F-7A4A-D71C-1E12-6130A3CF4FCE"
"Abies minor","http://ifpni.org/species.htm?id=34A3F332-E4BD-4D75-9432-0FE31746C122"
"Abies minor","http://ifpni.org/species.htm?id=5C942A3D-F401-40C2-9484-B9864169DCDC"
"Abies minor","http://ifpni.org/species.htm?id=9805FB31-1F21-46FA-A221-1527B2A2DDE1"
"Abies mucronata","http://ifpni.org/species.htm?id=3F89C601-8DAC-D15A-A915-858AD4A1103A"
"Abies mucronata","http://ifpni.org/species.htm?id=A39D30BC-74F2-A419-BD2A-24AC8F60407B"
"Abies nevadensis","http://ifpni.org/species.htm?id=180F49F0-8515-48AE-9F9C-DCA3DE658988"
"Abies nevadensis","http://ifpni.org/species.htm?id=69C1BE82-8491-4369-ACB7-52B01A7EC718"
"Abies nobui-suzukii","http://ifpni.org/species.htm?id=6E86D9D1-CB93-43CE-ABBD-0B96902EC934"
"Abies oblonga","http://ifpni.org/species.htm?id=68BFB7E7-C816-D057-1941-2306889BA83C"
"Abies obtusata","http://ifpni.org/species.htm?id=D80E88AB-994F-13BF-AF8C-FBA8BC6F6617"
"Abies obtusifolia","http://ifpni.org/species.htm?id=436BDC8B-E653-0180-B0B3-0E870200EC05"
"Abies obtusifolia","http://ifpni.org/species.htm?id=FD2C9C11-AB5F-49E3-B688-B20B7D19D297"
"Abies oceanines","http://ifpni.org/species.htm?id=42D073C5-5F33-4226-B17E-1C619AD4852D"
"Abies omalii","http://ifpni.org/species.htm?id=EBCA7661-0B79-F4DA-284F-D72CD6F433FA"
"Abies palaeocenica","http://ifpni.org/species.htm?id=0C161347-ECF4-4BD4-81DC-8A3B18FFD65B"
"Abies palaeostrobus","http://ifpni.org/species.htm?id=47A33C00-EB23-4F75-C253-A1F45064404F"
"Abies parviseminis","http://ifpni.org/species.htm?id=57B19CB2-FE14-9AB1-C65F-F6D04C9A7D63"
"Abies pinsapo","http://ifpni.org/species.htm?id=B4317955-AA36-3238-27C5-5496FC2CBC5B"
